crime,season,hour,arrest,no_arrest,total,season_string
RETAIL THEFT,3,15,110,131,241,Summer
RETAIL THEFT,3,16,115,142,257,Summer
RETAIL THEFT,3,17,99,131,230,Summer
RETAIL THEFT,3,18,82,98,180,Summer
RETAIL THEFT,3,19,78,108,186,Summer
RETAIL THEFT,3,20,47,79,126,Summer
RETAIL THEFT,3,21,45,61,106,Summer
RETAIL THEFT,3,22,27,39,66,Summer
RETAIL THEFT,3,23,8,36,44,Summer
RETAIL THEFT,4,0,6,15,21,Fall
RETAIL THEFT,4,1,5,10,15,Fall
RETAIL THEFT,4,2,6,8,14,Fall
RETAIL THEFT,4,3,2,7,9,Fall
RETAIL THEFT,4,4,2,4,6,Fall
RETAIL THEFT,4,5,4,6,10,Fall
RETAIL THEFT,4,6,8,20,28,Fall
RETAIL THEFT,4,7,11,20,31,Fall
RETAIL THEFT,4,8,27,41,68,Fall
RETAIL THEFT,4,9,40,48,88,Fall
RETAIL THEFT,4,10,60,84,144,Fall
RETAIL THEFT,4,11,84,108,192,Fall
RETAIL THEFT,4,12,74,131,205,Fall
RETAIL THEFT,4,13,90,96,186,Fall
RETAIL THEFT,4,14,87,113,200,Fall
RETAIL THEFT,4,15,103,125,228,Fall
RETAIL THEFT,4,16,130,120,250,Fall
RETAIL THEFT,4,17,90,123,213,Fall
RETAIL THEFT,4,18,82,128,210,Fall
RETAIL THEFT,4,19,80,106,186,Fall
RETAIL THEFT,4,20,55,77,132,Fall
RETAIL THEFT,4,21,34,45,79,Fall
RETAIL THEFT,4,22,25,21,46,Fall
RETAIL THEFT,4,23,16,15,31,Fall
OVER $500,1,1,0,49,49,Winter
OVER $500,1,2,0,44,44,Winter
OVER $500,1,3,0,42,42,Winter
OVER $500,1,4,0,32,32,Winter
OVER $500,1,5,0,33,33,Winter
OVER $500,2,3,0,63,63,Spring
OVER $500,2,4,0,53,53,Spring
OVER $500,4,5,0,65,65,Fall
