crime,year,total
ROBBERY,2013,11785
ROBBERY,2014,9647
ROBBERY,2015,9570
ROBBERY,2016,11611
ROBBERY,2017,11870
ROBBERY,2018,9024
SEX OFFENSE,2008,2778
SEX OFFENSE,2009,2330
SEX OFFENSE,2010,2011
SEX OFFENSE,2011,1046
SEX OFFENSE,2012,1008
SEX OFFENSE,2013,945
SEX OFFENSE,2014,870
SEX OFFENSE,2015,898
SEX OFFENSE,2016,770
SEX OFFENSE,2017,942
SEX OFFENSE,2018,989
STALKING,2008,370
STALKING,2009,324
STALKING,2010,342
STALKING,2011,181
STALKING,2012,207
STALKING,2013,146
STALKING,2014,130
STALKING,2015,149
STALKING,2016,142
STALKING,2017,184
STALKING,2018,189
THEFT,2008,172810
THEFT,2009,158609
THEFT,2010,143923
THEFT,2011,75174
THEFT,2012,75381
THEFT,2013,71171
THEFT,2014,60721
THEFT,2015,56831
THEFT,2016,58329
THEFT,2017,63585
THEFT,2018,59551
WEAPONS VIOLATION,2008,7652
WEAPONS VIOLATION,2009,8158
WEAPONS VIOLATION,2010,7114
WEAPONS VIOLATION,2011,3877
WEAPONS VIOLATION,2012,3897
WEAPONS VIOLATION,2013,3242
WEAPONS VIOLATION,2014,3104
WEAPONS VIOLATION,2015,3342
WEAPONS VIOLATION,2016,3398
WEAPONS VIOLATION,2017,4682
WEAPONS VIOLATION,2018,5094
